K,awq_dequantize_triton,awq_gemm_triton
512.000000,117.870507,496.484845
768.000000,159.584422,366.805965
1024.000000,196.252295,399.609763
1280.000000,200.784317,292.571421
1536.000000,208.271180,294.323343
1792.000000,200.503500,235.016398
2048.000000,199.197567,236.512005
2304.000000,176.805754,194.532979
2560.000000,172.827004,195.513132
2816.000000,160.936747,165.952117
3072.000000,154.323386,166.054047
3328.000000,128.929782,144.695649
3584.000000,121.878852,144.069086
3840.000000,112.630610,127.601246
4096.000000,109.226661,127.750486
4352.000000,93.123005,114.332395
4608.000000,89.045160,113.865640
4864.000000,85.007101,103.420594
5120.000000,82.747477,102.979258
